date,age,confirmed,deceased
"2020-04-05",80,462,91
"2020-04-06",0,126,0
"2020-04-06",10,542,0
"2020-04-06",20,2804,0
"2020-04-06",30,1086,1
"2020-04-06",40,1375,2
"2020-04-06",50,1906,13
"2020-04-06",60,1294,26
"2020-04-06",70,686,52
"2020-04-06",80,465,92
"2020-04-07",0,126,0
"2020-04-07",10,544,0
"2020-04-07",20,2819,0
"2020-04-07",30,1092,1
"2020-04-07",40,1382,2
"2020-04-07",50,1909,13
"2020-04-07",60,1304,26
"2020-04-07",70,689,57
"2020-04-07",80,466,93
"2020-04-08",0,126,0
"2020-04-08",10,548,0
"2020-04-08",20,2832,0
"2020-04-08",30,1102,1
"2020-04-08",40,1387,3
"2020-04-08",50,1915,13
"2020-04-08",60,1312,27
"2020-04-08",70,692,60
"2020-04-08",80,470,96
"2020-04-09",0,128,0
"2020-04-09",10,552,0
"2020-04-09",20,2844,0
"2020-04-09",30,1109,1
"2020-04-09",40,1394,3
"2020-04-09",50,1917,13
"2020-04-09",60,1314,27
"2020-04-09",70,692,60
"2020-04-09",80,473,100
"2020-04-10",0,129,0
"2020-04-10",10,553,0
"2020-04-10",20,2851,0
"2020-04-10",30,1113,1
"2020-04-10",40,1396,3
"2020-04-10",50,1920,13
"2020-04-10",60,1320,28
"2020-04-10",70,694,62
"2020-04-10",80,474,101
"2020-04-11",0,130,0
"2020-04-11",10,558,0
"2020-04-11",20,2856,0
"2020-04-11",30,1115,1
"2020-04-11",40,1399,3
"2020-04-11",50,1926,14
"2020-04-11",60,1327,29
"2020-04-11",70,694,63
"2020-04-11",80,475,101
"2020-04-12",0,130,0
"2020-04-12",10,561,0
"2020-04-12",20,2869,0
"2020-04-12",30,1120,1
"2020-04-12",40,1400,3
"2020-04-12",50,1930,14
"2020-04-12",60,1330,31
"2020-04-12",70,697,63
"2020-04-12",80,475,102
"2020-04-13",0,132,0
"2020-04-13",10,562,0
"2020-04-13",20,2879,0
"2020-04-13",30,1122,1
"2020-04-13",40,1401,3
"2020-04-13",50,1932,14
"2020-04-13",60,1335,32
"2020-04-13",70,698,64
"2020-04-13",80,476,103
"2020-04-14",0,132,0
"2020-04-14",10,565,0
"2020-04-14",20,2886,0
"2020-04-14",30,1126,1
"2020-04-14",40,1405,3
"2020-04-14",50,1935,14
"2020-04-14",60,1338,33
"2020-04-14",70,700,65
"2020-04-14",80,477,106
"2020-04-15",0,132,0
"2020-04-15",10,569,0
"2020-04-15",20,2895,0
"2020-04-15",30,1131,1
"2020-04-15",40,1408,3
"2020-04-15",50,1937,14
"2020-04-15",60,1339,33
"2020-04-15",70,702,68
"2020-04-15",80,478,106
"2020-04-16",0,135,0
"2020-04-16",10,572,0
"2020-04-16",20,2900,0
"2020-04-16",30,1132,1
"2020-04-16",40,1410,3
"2020-04-16",50,1940,14
"2020-04-16",60,1341,33
"2020-04-16",70,703,68
"2020-04-16",80,480,110
"2020-04-17",0,136,0
"2020-04-17",10,576,0
"2020-04-17",20,2909,0
"2020-04-17",30,1135,1
"2020-04-17",40,1411,3
"2020-04-17",50,1942,14
"2020-04-17",60,1342,33
"2020-04-17",70,704,68
"2020-04-17",80,480,111
"2020-04-18",0,138,0
"2020-04-18",10,576,0
"2020-04-18",20,2918,0
"2020-04-18",30,1136,1
"2020-04-18",40,1412,3
"2020-04-18",50,1944,15
"2020-04-18",60,1343,33
"2020-04-18",70,705,68
"2020-04-18",80,481,112
"2020-04-19",0,138,0
"2020-04-19",10,578,0
"2020-04-19",20,2921,0
"2020-04-19",30,1137,2
"2020-04-19",40,1412,3
"2020-04-19",50,1945,15
"2020-04-19",60,1343,34
"2020-04-19",70,705,68
"2020-04-19",80,482,112
"2020-04-20",0,138,0
"2020-04-20",10,581,0
"2020-04-20",20,2926,0
"2020-04-20",30,1139,2
"2020-04-20",40,1412,3
"2020-04-20",50,1948,15
"2020-04-20",60,1343,34
"2020-04-20",70,705,69
"2020-04-20",80,482,113
"2020-04-21",0,138,0
"2020-04-21",10,582,0
"2020-04-21",20,2928,0
"2020-04-21",30,1139,2
"2020-04-21",40,1413,3
"2020-04-21",50,1951,15
"2020-04-21",60,1343,34
"2020-04-21",70,706,70
"2020-04-21",80,483,113
"2020-04-22",0,138,0
"2020-04-22",10,583,0
"2020-04-22",20,2931,0
"2020-04-22",30,1140,2
"2020-04-22",40,1417,3
"2020-04-22",50,1951,15
"2020-04-22",60,1344,34
"2020-04-22",70,707,71
"2020-04-22",80,483,113
"2020-04-23",0,138,0
"2020-04-23",10,584,0
"2020-04-23",20,2933,0
"2020-04-23",30,1141,2
"2020-04-23",40,1418,3
"2020-04-23",50,1952,15
"2020-04-23",60,1344,35
"2020-04-23",70,708,71
"2020-04-23",80,484,114
"2020-04-24",0,138,0
"2020-04-24",10,585,0
"2020-04-24",20,2934,0
"2020-04-24",30,1142,2
"2020-04-24",40,1418,3
"2020-04-24",50,1953,15
"2020-04-24",60,1345,35
"2020-04-24",70,708,71
"2020-04-24",80,485,114
"2020-04-25",0,139,0
"2020-04-25",10,586,0
"2020-04-25",20,2937,0
"2020-04-25",30,1143,2
"2020-04-25",40,1420,3
"2020-04-25",50,1953,15
"2020-04-25",60,1347,35
"2020-04-25",70,708,71
"2020-04-25",80,485,114
"2020-04-26",0,140,0
"2020-04-26",10,586,0
"2020-04-26",20,2940,0
"2020-04-26",30,1147,2
"2020-04-26",40,1421,3
"2020-04-26",50,1953,15
"2020-04-26",60,1347,35
"2020-04-26",70,708,72
"2020-04-26",80,485,115
"2020-04-27",0,140,0
"2020-04-27",10,588,0
"2020-04-27",20,2943,0
"2020-04-27",30,1152,2
"2020-04-27",40,1422,3
"2020-04-27",50,1953,15
"2020-04-27",60,1347,35
"2020-04-27",70,708,72
"2020-04-27",80,485,116
"2020-04-28",0,140,0
"2020-04-28",10,590,0
"2020-04-28",20,2948,0
"2020-04-28",30,1154,2
"2020-04-28",40,1423,3
"2020-04-28",50,1955,15
"2020-04-28",60,1348,35
"2020-04-28",70,709,73
"2020-04-28",80,485,116
"2020-04-29",0,140,0
"2020-04-29",10,590,0
"2020-04-29",20,2951,0
"2020-04-29",30,1156,2
"2020-04-29",40,1426,3
"2020-04-29",50,1956,15
"2020-04-29",60,1348,35
"2020-04-29",70,709,73
"2020-04-29",80,485,118
"2020-04-30",0,140,0
"2020-04-30",10,590,0
"2020-04-30",20,2952,0
